"Date","Price","Open","High","Low","Vol.","Change %"
"06/07/2022","148.71","144.35","149.00","144.10","67.81M","1.76%"
"06/06/2022","146.14","147.03","148.57","144.90","71.60M","0.52%"
"06/03/2022","145.38","146.90","147.97","144.46","88.57M","-3.86%"
"06/02/2022","151.21","147.83","151.27","146.86","72.35M","1.68%"
"06/01/2022","148.71","149.90","151.74","147.68","74.29M","-0.09%"
"05/31/2022","148.84","149.07","150.66","146.84","103.72M","-0.53%"
"05/27/2022","149.64","145.39","149.68","145.26","90.98M","4.08%"
"05/26/2022","143.78","137.39","144.34","137.14","90.60M","2.32%"
"05/25/2022","140.52","138.43","141.78","138.34","92.48M","0.11%"
"05/24/2022","140.36","140.81","141.97","137.33","104.13M","-1.92%"
"05/23/2022","143.11","137.79","143.26","137.65","117.73M","4.01%"
"05/20/2022","137.59","139.09","140.70","132.61","137.43M","0.17%"
"05/19/2022","137.35","139.88","141.66","136.60","136.10M","-2.46%"
"05/18/2022","140.82","146.85","147.36","139.90","109.74M","-5.64%"
"05/17/2022","149.24","148.86","149.77","146.68","78.34M","2.54%"
"05/16/2022","145.54","145.55","147.52","144.18","86.64M","-1.07%"
"05/13/2022","147.11","144.59","148.10","143.11","113.99M","3.19%"
"05/12/2022","142.56","142.77","146.20","138.80","182.60M","-2.69%"
"05/11/2022","146.50","153.50","155.45","145.81","142.69M","-5.18%"
"05/10/2022","154.51","155.52","156.74","152.93","115.37M","1.61%"
"05/09/2022","152.06","154.93","155.83","151.49","131.58M","-3.32%"
"05/06/2022","157.28","156.01","159.44","154.18","116.12M","0.33%"
"05/05/2022","156.77","163.85","164.08","154.95","130.53M","-5.57%"
"05/04/2022","166.02","159.67","166.48","159.26","108.26M","4.10%"
"05/03/2022","159.48","158.15","160.71","156.32","88.97M","0.96%"
"05/02/2022","157.96","156.71","158.23","153.27","123.06M","0.20%"
"04/29/2022","157.65","161.84","166.20","157.25","131.75M","-3.66%"
"04/28/2022","163.64","159.25","164.51","158.93","130.22M","4.52%"
"04/27/2022","156.57","155.91","159.79","155.38","88.06M","-0.15%"
"04/26/2022","156.80","162.25","162.34","156.72","95.62M","-3.73%"
"04/25/2022","162.88","161.12","163.17","158.46","96.05M","0.67%"
"04/22/2022","161.79","166.46","167.87","161.50","84.88M","-2.78%"
"04/21/2022","166.42","168.91","171.53","165.91","87.23M","-0.48%"
"04/20/2022","167.23","168.76","168.88","166.10","67.93M","-0.10%"
"04/19/2022","167.40","165.02","167.82","163.91","67.72M","1.41%"
"04/18/2022","165.07","163.92","166.60","163.57","69.02M","-0.13%"
"04/14/2022","165.29","170.62","171.27","165.04","75.33M","-3.00%"
"04/13/2022","170.40","167.39","171.04","166.77","70.62M","1.63%"
"04/12/2022","167.66","168.02","169.87","166.64","79.27M","1.15%"
"04/11/2022","165.75","168.71","169.03","165.50","72.25M","-2.55%"
"04/08/2022","170.09","171.78","171.78","169.20","76.58M","-1.19%"
"04/07/2022","172.14","171.16","173.36","169.85","77.59M","0.18%"
"04/06/2022","171.83","172.36","173.63","170.13","89.06M","-1.85%"
"04/05/2022","175.06","177.50","178.30","174.41","73.40M","-1.89%"
"04/04/2022","178.44","174.57","178.49","174.44","76.55M","2.37%"
"04/01/2022","174.31","174.03","174.88","171.94","78.75M","-0.17%"
"03/31/2022","174.61","177.84","178.03","174.40","103.05M","-1.78%"
"03/30/2022","177.77","178.55","179.61","176.70","92.63M","-0.66%"
"03/29/2022","178.96","176.69","179.01","176.34","100.59M","1.91%"
"03/28/2022","175.60","172.17","175.73","172.00","90.37M","0.50%"
"03/25/2022","174.72","173.88","175.28","172.75","80.55M","0.37%"
"03/24/2022","174.07","171.06","174.14","170.21","90.13M","2.27%"
"03/23/2022","170.21","167.99","172.64","167.65","98.06M","0.82%"
"03/22/2022","168.82","165.51","169.42","164.91","81.53M","2.08%"
"03/21/2022","165.38","163.51","166.35","163.01","95.81M","0.85%"
"03/18/2022","163.98","160.51","164.48","159.76","123.51M","2.09%"
"03/17/2022","160.62","158.61","161.00","157.63","75.62M","0.65%"
"03/16/2022","159.59","157.05","160.00","154.46","102.30M","2.90%"
"03/15/2022","155.09","150.90","155.57","150.38","92.96M","2.97%"
"03/14/2022","150.62","151.45","154.12","150.10","108.73M","-2.66%"
"03/11/2022","154.73","158.93","159.28","154.50","96.97M","-2.39%"
"03/10/2022","158.52","160.20","160.39","155.98","105.34M","-2.72%"
"03/09/2022","162.95","161.47","163.41","159.41","91.45M","3.50%"
"03/08/2022","157.44","158.82","162.88","155.80","131.15M","-1.17%"
"03/07/2022","159.30","163.36","165.02","159.04","96.42M","-2.37%"
"03/04/2022","163.17","164.49","165.55","162.10","83.82M","-1.84%"
"03/03/2022","166.23","168.47","168.91","165.55","76.68M","-0.20%"
"03/02/2022","166.56","164.39","167.36","162.95","79.72M","2.06%"
"03/01/2022","163.20","164.69","166.60","161.97","83.47M","-1.16%"
"02/28/2022","165.12","163.06","165.42","162.43","95.06M","0.16%"
"02/25/2022","164.85","163.84","165.12","160.87","91.97M","1.30%"
"02/24/2022","162.74","152.58","162.85","152.00","141.15M","1.67%"
"02/23/2022","160.07","165.54","166.15","159.75","90.01M","-2.59%"
"02/22/2022","164.32","164.98","166.69","162.15","91.16M","-1.78%"
"02/18/2022","167.30","169.82","170.54","166.19","82.77M","-0.94%"
"02/17/2022","168.88","171.03","171.91","168.47","69.59M","-2.13%"
"02/16/2022","172.55","171.85","173.34","170.05","61.18M","-0.14%"
"02/15/2022","172.79","170.97","172.95","170.25","64.29M","2.32%"
"02/14/2022","168.88","167.37","169.58","166.56","86.19M","0.14%"
"02/11/2022","168.64","172.33","173.08","168.04","98.67M","-2.02%"
"02/10/2022","172.12","174.14","175.48","171.55","90.87M","-2.36%"
"02/09/2022","176.28","176.05","176.65","174.90","71.29M","0.83%"
"02/08/2022","174.83","171.73","175.35","171.43","74.83M","1.85%"
"02/07/2022","171.66","172.86","173.95","170.95","77.25M","-0.42%"
"02/04/2022","172.39","171.68","174.10","170.68","82.47M","-0.29%"
"02/03/2022","172.90","174.48","176.24","172.12","89.42M","-1.67%"
"02/02/2022","175.84","174.75","175.88","173.33","84.91M","0.70%"
"02/01/2022","174.61","174.01","174.84","172.31","86.21M","-0.10%"
"01/31/2022","174.78","170.16","175.00","169.51","115.54M","2.61%"
"01/28/2022","170.33","165.71","170.35","162.80","179.94M","6.98%"
"01/27/2022","159.22","162.45","163.84","158.28","121.95M","-0.29%"
"01/26/2022","159.69","163.50","164.39","157.82","108.28M","-0.06%"
"01/25/2022","159.78","158.98","162.76","157.02","115.80M","-1.14%"
"01/24/2022","161.62","160.02","162.30","154.70","162.71M","-0.49%"
"01/21/2022","162.41","164.41","166.33","162.30","122.85M","-1.28%"
"01/20/2022","164.51","166.98","169.68","164.18","91.42M","-1.03%"
"01/19/2022","166.23","170.00","171.08","165.94","94.81M","-2.10%"
"01/18/2022","169.80","171.51","172.54","169.41","91.17M","-1.89%"
"01/14/2022","173.07","171.34","173.78","171.09","80.44M","0.51%"
"01/13/2022","172.19","175.78","176.62","171.79","84.51M","-1.90%"
"01/12/2022","175.53","176.12","177.18","174.82","74.81M","0.26%"
"01/11/2022","175.08","172.32","175.18","170.82","76.14M","1.68%"
"01/10/2022","172.19","169.08","172.50","168.17","106.77M","0.01%"
"01/07/2022","172.17","172.89","174.14","171.03","86.71M","0.10%"
"01/06/2022","172.00","172.70","175.30","171.64","96.90M","-1.67%"
"01/05/2022","174.92","179.61","180.17","174.64","94.54M","-2.66%"
"01/04/2022","179.70","182.63","182.94","179.12","99.31M","-1.27%"
"01/03/2022","182.01","177.83","182.88","177.71","104.70M","2.50%"
